id,(Intercept),GroupP,GroupT2DM,GroupT2DM_P
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter,0.27348939968407754,0.344505277398543,0.29647575867983067,0.3383887289434765
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;__,0.45731722436223127,0.6045468387958004,0.6685853632393958,0.7811058778678858
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium,0.3539952098861674,0.8003011010633919,0.46815426595614323,0.4463940935048429
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella,0.5548550241122013,0.8310830378973957,0.7790400276548509,0.7297047993800557
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Eikenella,0.3351713920563752,0.6013298610973841,0.3968409953549434,0.4164971818387786
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Parvimonas,0.4527201097486233,0.6805872750907256,0.49591315019349536,0.5099834520839408
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,0.6593795871141191,0.7088250221448071,0.7178079698938559,0.8076701164409803
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__,0.43785099478123546,0.7105774260682823,0.5809664711744631,0.5823856280593377
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,0.5950946332904216,0.7261887385765476,0.7279400431475211,0.7224457146558637
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Centipeda,0.3377244390898184,0.4807637091317944,0.3833234152107045,0.48250858520268963
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia,0.49908860970124225,0.6323200037824923,0.5579368678564043,0.6129074622178253
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus,0.389794452668758,0.589736484644936,0.552919177809088,0.5179382940533878
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium,0.5137770189644835,0.5819349945197956,0.5780141616496244,0.5917595957725633
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium,0.4027344600354824,0.6475926353919726,0.48441817619661176,0.5175593215558224
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_brachy_group,0.5150132364519256,0.8298277342046486,0.6011187895111756,0.6474848913539977
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Aggregatibacter,0.6616076169462448,0.8650186901417465,0.6996062144393695,0.7835052945130525
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium,0.4706491680050981,0.6401210557945494,0.678290077388769,0.5843733957823384
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium,0.5360474724975803,0.6537230400786,0.6086915483057289,0.6144509733880705
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__uncultured,0.36199176292747937,0.6718968888029194,0.5494888114458001,0.5496015201718296
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella,0.3648057217840367,0.5920576314997736,0.4069645479243666,0.4770805426476846
