run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	library_source	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR32802193	PRJNA1240053	SAMN47499669	SRX28086131	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/093/SRR32802193/SRR32802193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/093/SRR32802193/SRR32802193_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/093/SRR32802193/SRR32802193.lite	Type 2 diabetes mellitus_Periodontitis 18	
SRR32802195	PRJNA1240053	SAMN47499667	SRX28086129	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/095/SRR32802195/SRR32802195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/095/SRR32802195/SRR32802195_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/095/SRR32802195/SRR32802195.lite	Type 2 diabetes mellitus_Periodontitis 16	
SRR32802196	PRJNA1240053	SAMN47499666	SRX28086128	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/096/SRR32802196/SRR32802196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/096/SRR32802196/SRR32802196_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/096/SRR32802196/SRR32802196.lite	Type 2 diabetes mellitus_Periodontitis 15	
SRR32802197	PRJNA1240053	SAMN47499665	SRX28086127	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/097/SRR32802197/SRR32802197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/097/SRR32802197/SRR32802197_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/097/SRR32802197/SRR32802197.lite	Type 2 diabetes mellitus_Periodontitis 14	
SRR32802199	PRJNA1240053	SAMN47499663	SRX28086125	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/099/SRR32802199/SRR32802199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/099/SRR32802199/SRR32802199_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/099/SRR32802199/SRR32802199.lite	Type 2 diabetes mellitus_Periodontitis 12	
SRR32802200	PRJNA1240053	SAMN47499662	SRX28086124	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/000/SRR32802200/SRR32802200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/000/SRR32802200/SRR32802200_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/000/SRR32802200/SRR32802200.lite	Type 2 diabetes mellitus_Periodontitis 11	
SRR32802204	PRJNA1240053	SAMN47499659	SRX28086120	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/004/SRR32802204/SRR32802204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/004/SRR32802204/SRR32802204_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/004/SRR32802204/SRR32802204.lite	Type 2 diabetes mellitus_Periodontitis 8	
SRR32802210	PRJNA1240053	SAMN47499653	SRX28086114	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/010/SRR32802210/SRR32802210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/010/SRR32802210/SRR32802210_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/010/SRR32802210/SRR32802210.lite	Type 2 diabetes mellitus_Periodontitis 2	
SRR32802211	PRJNA1240053	SAMN47499652	SRX28086113	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/011/SRR32802211/SRR32802211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/011/SRR32802211/SRR32802211_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/011/SRR32802211/SRR32802211.lite	Type 2 diabetes mellitus_Periodontitis 1	
SRR32802214	PRJNA1240053	SAMN47499650	SRX28086110	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/014/SRR32802214/SRR32802214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/014/SRR32802214/SRR32802214_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/014/SRR32802214/SRR32802214.lite	Type 2 diabetes mellitus 19	
