# Constructed from biom file
#OTU ID	SRR32802211	SRR32802215	SRR32802231	SRR32802240	SRR32802204	SRR32802246	SRR32802236	SRR32802210	SRR32802221	SRR32802189	SRR32802191	SRR32802200	SRR32802196	SRR32802219	SRR32802213	SRR32802209	SRR32802198	SRR32802190	SRR32802193	SRR32802199	SRR32802222	SRR32802205	SRR32802208	SRR32802225	SRR32802201	SRR32802227	SRR32802228	SRR32802194	SRR32802237	SRR32802224	SRR32802207	SRR32802239	SRR32802192	SRR32802197	SRR32802188	SRR32802216	SRR32802223	SRR32802212	SRR32802202	SRR32802206	SRR32802232	SRR32802244	SRR32802226	SRR32802203	SRR32802195	SRR32802229	SRR32802245	SRR32802218	SRR32802187	SRR32802220	SRR32802230	SRR32802242	SRR32802238	SRR32802217	SRR32802233	SRR32802243	SRR32802241	SRR32802235	SRR32802234	SRR32802214
16a568487cde85fa1cede9642eecf37c	6105.0	5266.0	13808.0	4414.0	6888.0	6134.0	2827.0	6513.0	2508.0	2041.0	4278.0	3956.0	5191.0	142.0	5178.0	5771.0	3562.0	4469.0	3621.0	4230.0	4409.0	3781.0	4521.0	4563.0	2329.0	3926.0	3177.0	3360.0	5640.0	4491.0	1931.0	6325.0	1792.0	21619.0	4835.0	3362.0	3717.0	3750.0	2502.0	1919.0	3130.0	1538.0	5500.0	4530.0	9484.0	7838.0	8211.0	3363.0	2279.0	1426.0	9325.0	7373.0	4041.0	2878.0	11100.0	1144.0	7912.0	1546.0	577.0	2804.0
1c29bc40da28326c0695494a6ac954e0	4580.0	357.0	626.0	919.0	2056.0	35.0	1612.0	3463.0	2687.0	8.0	1531.0	152.0	1539.0	3552.0	2610.0	7999.0	4852.0	2487.0	2959.0	1806.0	2535.0	2895.0	55.0	1219.0	556.0	587.0	727.0	178.0	2082.0	2634.0	1681.0	96.0	3272.0	0.0	2395.0	1074.0	1840.0	1489.0	3541.0	1075.0	5493.0	6090.0	429.0	2041.0	7999.0	1000.0	1074.0	1209.0	0.0	3389.0	1140.0	2249.0	9.0	1065.0	2081.0	5001.0	2144.0	1558.0	480.0	1043.0
d87a0bcfdbabdfea7b1e9221fafae225	3187.0	356.0	0.0	157.0	106.0	0.0	0.0	1431.0	66.0	0.0	0.0	0.0	1197.0	0.0	0.0	0.0	0.0	889.0	239.0	1150.0	0.0	308.0	1599.0	1011.0	77.0	0.0	342.0	2500.0	1676.0	62.0	788.0	1393.0	1545.0	0.0	86.0	0.0	1138.0	0.0	0.0	0.0	0.0	104.0	1893.0	667.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	1299.0	701.0	815.0	13.0	0.0	1582.0	0.0	0.0	598.0
d134b19c14b84420f01b04e73bc71f0e	2833.0	145.0	13.0	144.0	325.0	7.0	241.0	31.0	119.0	5.0	54.0	116.0	1.0	5.0	53.0	700.0	3697.0	238.0	21.0	175.0	56.0	148.0	61.0	0.0	0.0	8.0	25.0	109.0	0.0	70.0	210.0	0.0	104.0	21.0	100.0	100.0	0.0	5.0	24.0	433.0	76.0	0.0	255.0	108.0	1660.0	26.0	0.0	0.0	2.0	428.0	14.0	734.0	56.0	235.0	10.0	5.0	1502.0	433.0	16.0	774.0
3001d5ed7dfa64405c075ed2d71fa68f	1960.0	1319.0	0.0	790.0	24.0	0.0	12.0	1984.0	1054.0	0.0	29.0	1282.0	405.0	620.0	0.0	6942.0	2818.0	171.0	888.0	231.0	775.0	1747.0	453.0	1809.0	122.0	859.0	408.0	80.0	0.0	0.0	0.0	745.0	88.0	0.0	0.0	47.0	0.0	40.0	8.0	0.0	4431.0	83.0	0.0	2325.0	935.0	359.0	0.0	3287.0	600.0	4404.0	61.0	947.0	150.0	0.0	12.0	16.0	1852.0	13.0	0.0	1412.0
e9477ffa5d27654127c5993c63d09798	1877.0	623.0	188.0	41.0	165.0	0.0	171.0	5291.0	830.0	346.0	415.0	194.0	602.0	1475.0	58.0	751.0	733.0	129.0	655.0	433.0	0.0	276.0	0.0	2819.0	145.0	1145.0	371.0	679.0	20.0	0.0	57.0	116.0	3006.0	0.0	0.0	920.0	592.0	535.0	1132.0	0.0	0.0	4856.0	0.0	1257.0	0.0	167.0	0.0	655.0	4998.0	0.0	7.0	993.0	0.0	270.0	7.0	7670.0	1846.0	62.0	329.0	0.0
d0718feea6219ca5517facf8c88d803e	1804.0	0.0	0.0	0.0	0.0	0.0	0.0	991.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	906.0	0.0	0.0	0.0	0.0	0.0	0.0	6784.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	2281.0	0.0	0.0	0.0	0.0	0.0	0.0
45178ebcb14f9d545d05a47711f4166f	1627.0	38.0	20.0	54.0	0.0	0.0	45.0	54.0	33.0	0.0	37.0	10.0	0.0	0.0	38.0	355.0	730.0	17.0	4.0	32.0	80.0	67.0	67.0	0.0	16.0	21.0	275.0	0.0	0.0	8.0	97.0	0.0	0.0	0.0	172.0	18.0	70.0	211.0	0.0	0.0	0.0	0.0	42.0	108.0	18.0	110.0	18.0	0.0	112.0	0.0	7.0	0.0	21.0	0.0	0.0	13.0	0.0	27.0	53.0	28.0
278e4ecb3dd37e186d585f5c0de335c5	1573.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	87.0	0.0	20.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	522.0	23.0	0.0	0.0	0.0	0.0	20.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	2.0	4.0
7277a44e0f6a3870c12824b4d4312b94	1354.0	217.0	1499.0	691.0	236.0	8.0	0.0	2285.0	175.0	435.0	3046.0	1327.0	0.0	383.0	1252.0	582.0	1676.0	1132.0	1359.0	711.0	938.0	51.0	675.0	0.0	290.0	332.0	557.0	1422.0	1483.0	509.0	551.0	67.0	0.0	0.0	1594.0	188.0	641.0	850.0	0.0	1232.0	0.0	217.0	856.0	204.0	0.0	1004.0	3482.0	191.0	950.0	315.0	293.0	1613.0	1000.0	532.0	227.0	591.0	1931.0	3094.0	670.0	14.0
8962b70796ace97111f282527c599e8a	1335.0	0.0	0.0	0.0	0.0	8699.0	0.0	1278.0	728.0	177.0	0.0	0.0	0.0	1899.0	1358.0	0.0	0.0	46.0	0.0	0.0	0.0	790.0	0.0	5410.0	347.0	2067.0	0.0	0.0	0.0	0.0	928.0	0.0	1015.0	8.0	0.0	0.0	1187.0	0.0	0.0	82.0	3984.0	411.0	0.0	736.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	61.0	56.0	483.0	0.0	0.0	0.0	0.0
9112932a06765fa425c534b6bfc0aaa1	1232.0	0.0	0.0	0.0	0.0	16.0	176.0	0.0	0.0	767.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	504.0	559.0	0.0	226.0	0.0	448.0	0.0	0.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	543.0	0.0	0.0	0.0	0.0	0.0
955764718cf51e6d3f105bf9973660b8	1191.0	507.0	92.0	176.0	6.0	0.0	42.0	0.0	97.0	7.0	510.0	341.0	42.0	0.0	21.0	6.0	471.0	120.0	1328.0	369.0	288.0	10.0	117.0	49.0	64.0	169.0	352.0	76.0	4.0	0.0	305.0	206.0	535.0	0.0	935.0	170.0	267.0	383.0	1.0	0.0	247.0	82.0	592.0	204.0	0.0	0.0	102.0	1978.0	1118.0	137.0	51.0	126.0	42.0	0.0	15.0	335.0	80.0	50.0	265.0	89.0
7a63d7a19795e8feb987b4d348a95674	1189.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	91.0	351.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	47.0	103.0	0.0	32.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
42438508f9dd54b9135aefb84d9b4a34	1024.0	442.0	0.0	203.0	139.0	655.0	78.0	1248.0	0.0	3.0	539.0	600.0	0.0	785.0	1880.0	333.0	668.0	357.0	622.0	0.0	1158.0	274.0	822.0	494.0	374.0	378.0	253.0	912.0	807.0	44.0	134.0	84.0	0.0	0.0	1481.0	1011.0	676.0	61.0	0.0	0.0	0.0	0.0	1433.0	612.0	5.0	86.0	0.0	339.0	2043.0	1354.0	0.0	910.0	828.0	257.0	0.0	0.0	1088.0	513.0	0.0	406.0
1ad56f297036825a79209679156a27a5	1000.0	1329.0	0.0	98.0	7.0	0.0	517.0	300.0	208.0	26.0	0.0	157.0	496.0	49.0	0.0	50.0	0.0	929.0	533.0	303.0	0.0	18.0	295.0	171.0	81.0	166.0	1018.0	495.0	5.0	7.0	0.0	772.0	37.0	0.0	223.0	87.0	339.0	177.0	733.0	0.0	0.0	1577.0	206.0	191.0	0.0	22.0	66.0	374.0	0.0	0.0	41.0	1063.0	219.0	5.0	10.0	2203.0	914.0	0.0	0.0	686.0
