Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR32802195_2	(30, 19.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 1.0)	(90, 2.0)	(100, 1.0)	(110, 0.0)	(120, 2.0)	(130, 3.0)	(140, 5.0)	(150, 2.0)	(160, 4.0)	(170, 1.0)	(180, 2.0)	(190, 2.0)	(200, 1.0)	(210, 0.0)	(220, 9.0)	(230, 4.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 3.0)	(280, 5.0)	(290, 4178.0)	(300, 220310.0)
SRR32802196_1	(30, 10.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 3.0)	(80, 0.0)	(90, 2.0)	(100, 0.0)	(110, 1.0)	(120, 1.0)	(130, 1.0)	(140, 11.0)	(150, 2.0)	(160, 18.0)	(170, 1.0)	(180, 30.0)	(190, 12.0)	(200, 26.0)	(210, 5.0)	(220, 97.0)	(230, 4.0)	(240, 4.0)	(250, 2.0)	(260, 5.0)	(270, 17.0)	(280, 11.0)	(290, 12812.0)	(300, 162644.0)
SRR32802196_2	(30, 9.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 3.0)	(80, 1.0)	(90, 2.0)	(100, 0.0)	(110, 1.0)	(120, 1.0)	(130, 0.0)	(140, 10.0)	(150, 2.0)	(160, 12.0)	(170, 2.0)	(180, 21.0)	(190, 8.0)	(200, 22.0)	(210, 0.0)	(220, 39.0)	(230, 2.0)	(240, 2.0)	(250, 1.0)	(260, 2.0)	(270, 1.0)	(280, 2.0)	(290, 2440.0)	(300, 173136.0)
SRR32802197_1	(30, 14.0)	(40, 0.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 1.0)	(90, 1.0)	(100, 1.0)	(110, 0.0)	(120, 2.0)	(130, 1.0)	(140, 5.0)	(150, 2.0)	(160, 6.0)	(170, 1.0)	(180, 4.0)	(190, 3.0)	(200, 6.0)	(210, 4.0)	(220, 16.0)	(230, 7.0)	(240, 5.0)	(250, 2.0)	(260, 2.0)	(270, 12.0)	(280, 21.0)	(290, 2882.0)	(300, 145499.0)
SRR32802197_2	(30, 10.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 0.0)	(140, 2.0)	(150, 2.0)	(160, 7.0)	(170, 1.0)	(180, 3.0)	(190, 3.0)	(200, 5.0)	(210, 4.0)	(220, 6.0)	(230, 1.0)	(240, 2.0)	(250, 2.0)	(260, 2.0)	(270, 4.0)	(280, 4.0)	(290, 2320.0)	(300, 146118.0)
SRR32802198_1	(30, 18.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 2.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 2.0)	(130, 0.0)	(140, 9.0)	(150, 1.0)	(160, 24.0)	(170, 3.0)	(180, 30.0)	(190, 3.0)	(200, 15.0)	(210, 5.0)	(220, 37.0)	(230, 8.0)	(240, 5.0)	(250, 10.0)	(260, 7.0)	(270, 13.0)	(280, 22.0)	(290, 10880.0)	(300, 189518.0)
SRR32802198_2	(30, 15.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 2.0)	(90, 2.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 0.0)	(140, 9.0)	(150, 1.0)	(160, 18.0)	(170, 3.0)	(180, 26.0)	(190, 3.0)	(200, 15.0)	(210, 1.0)	(220, 12.0)	(230, 6.0)	(240, 1.0)	(250, 5.0)	(260, 1.0)	(270, 0.0)	(280, 9.0)	(290, 3889.0)	(300, 196594.0)
SRR32802199_1	(30, 19.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 1.0)	(130, 2.0)	(140, 8.0)	(150, 1.0)	(160, 34.0)	(170, 1.0)	(180, 24.0)	(190, 4.0)	(200, 28.0)	(210, 15.0)	(220, 40.0)	(230, 3.0)	(240, 5.0)	(250, 13.0)	(260, 10.0)	(270, 8.0)	(280, 9.0)	(290, 13638.0)	(300, 164230.0)
SRR32802199_2	(30, 18.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 0.0)	(130, 2.0)	(140, 8.0)	(150, 1.0)	(160, 27.0)	(170, 1.0)	(180, 17.0)	(190, 4.0)	(200, 21.0)	(210, 5.0)	(220, 10.0)	(230, 1.0)	(240, 3.0)	(250, 7.0)	(260, 2.0)	(270, 1.0)	(280, 0.0)	(290, 2466.0)	(300, 175499.0)
SRR32802200_1	(30, 8.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 1.0)	(130, 2.0)	(140, 4.0)	(150, 1.0)	(160, 17.0)	(170, 1.0)	(180, 17.0)	(190, 0.0)	(200, 7.0)	(210, 4.0)	(220, 17.0)	(230, 11.0)	(240, 0.0)	(250, 6.0)	(260, 6.0)	(270, 8.0)	(280, 9.0)	(290, 11511.0)	(300, 171056.0)
