Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802222_1	SRR32802222_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141892.0	42.7 Mbp	0.0	301.0	54.0	9.83564964902884	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802222_2	SRR32802222_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141892.0	42.7 Mbp	0.0	301.0	53.0	16.285625687142332	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802223_1	SRR32802223_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127968.0	38.5 Mbp	0.0	301.0	53.0	10.454176044011003	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802223_2	SRR32802223_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	127968.0	38.5 Mbp	0.0	301.0	53.0	16.18607776944236	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802224_1	SRR32802224_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177018.0	53.2 Mbp	0.0	301.0	52.0	9.573037770170265	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802224_2	SRR32802224_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	177018.0	53.2 Mbp	0.0	301.0	52.0	14.825610954818154	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802225_1	SRR32802225_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132779.0	39.9 Mbp	0.0	301.0	54.0	8.610548354785019	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802225_2	SRR32802225_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132779.0	39.9 Mbp	0.0	301.0	53.0	15.640274440988408	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802226_1	SRR32802226_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163285.0	49.1 Mbp	0.0	301.0	53.0	9.94580028784028	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802226_2	SRR32802226_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	163285.0	49.1 Mbp	0.0	301.0	53.0	15.974523073154302	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802227_1	SRR32802227_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97169.0	29.2 Mbp	0.0	301.0	54.0	9.846761827331763	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802227_2	SRR32802227_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97169.0	29.2 Mbp	0.0	301.0	53.0	17.09084172935813	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802228_1	SRR32802228_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125689.0	37.8 Mbp	0.0	301.0	54.0	10.8314967896952	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802228_2	SRR32802228_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	125689.0	37.8 Mbp	0.0	301.0	53.0	14.076808630826882	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802229_1	SRR32802229_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	172862.0	52 Mbp	0.0	301.0	53.0	8.949913804074928	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802229_2	SRR32802229_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	172862.0	52 Mbp	0.0	301.0	52.0	14.255880413277644	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802230_1	SRR32802230_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	164707.0	49.5 Mbp	0.0	301.0	53.0	9.073081289805533	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802230_2	SRR32802230_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	164707.0	49.5 Mbp	0.0	301.0	53.0	13.992119339190198	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802231_1	SRR32802231_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212013.0	63.8 Mbp	0.0	301.0	53.0	9.00039148542778	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802231_2	SRR32802231_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	212013.0	63.8 Mbp	0.0	301.0	54.0	13.729818454528731	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802232_1	SRR32802232_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123339.0	37.1 Mbp	0.0	301.0	55.0	7.965850217692701	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802232_2	SRR32802232_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123339.0	37.1 Mbp	0.0	301.0	55.0	13.704505468667655	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802233_1	SRR32802233_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	185076.0	55.7 Mbp	0.0	301.0	53.0	8.338736519051633	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802233_2	SRR32802233_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	185076.0	55.7 Mbp	0.0	301.0	53.0	13.131362251183297	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802234_1	SRR32802234_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140843.0	42.3 Mbp	0.0	301.0	53.0	11.067642694347606	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802234_2	SRR32802234_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	140843.0	42.3 Mbp	0.0	301.0	53.0	14.376291331482575	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
