Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802213_1	(1.0, 6.654775487029509)	(2.0, 2.4992902786928273)	(3.0, 1.5072873648181775)	(4.0, 1.0969881034639755)	(5.0, 0.816849051651642)	(6.0, 0.6813324548858286)	(7.0, 0.6186627243656698)	(8.0, 0.4885025148238017)	(9.0, 0.3519146406131992)	('>10', 5.867386565109565)	('>50', 3.346670737520957)	('>100', 15.825446053146075)	('>500', 13.553266592748523)	('>1k', 40.06416951894287)	('>5k', 6.627457912187388)	('>10k+', 0.0)
SRR32802213_2	(1.0, 15.36854622294355)	(2.0, 3.342385627741801)	(3.0, 1.9990037119763462)	(4.0, 1.3369542510967203)	(5.0, 1.0203917661615594)	(6.0, 0.7102569458951327)	(7.0, 0.5624206585142453)	(8.0, 0.5056429539404262)	(9.0, 0.4194051196349086)	('>10', 5.315143042320815)	('>50', 4.704514898791063)	('>100', 30.02844241615915)	('>500', 21.30663709940919)	('>1k', 13.380255285415094)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802214_1	(1.0, 6.841763726008336)	(2.0, 2.5622328220017527)	(3.0, 1.5634303146261348)	(4.0, 1.233618100201366)	(5.0, 0.8262030117942989)	(6.0, 0.6823700988098663)	(7.0, 0.5244883896734659)	(8.0, 0.4656172438937911)	(9.0, 0.421463884559035)	('>10', 5.740605703811238)	('>50', 3.023167133844888)	('>100', 17.637929073649143)	('>500', 14.130412967707839)	('>1k', 34.73464500030104)	('>5k', 9.612052529117802)	('>10k+', 0.0)
SRR32802214_2	(1.0, 13.611276500377981)	(2.0, 3.282066377216867)	(3.0, 1.934719927213856)	(4.0, 1.2496738672321865)	(5.0, 0.9064818469484007)	(6.0, 0.6542725065059306)	(7.0, 0.5432201178760896)	(8.0, 0.4174499428013299)	(9.0, 0.45156844774182325)	('>10', 5.289037256069414)	('>50', 4.85218659477251)	('>100', 32.00315763418273)	('>500', 22.259314017353606)	('>1k', 12.545574963707276)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802215_1	(1.0, 6.77718581821132)	(2.0, 2.588095302485329)	(3.0, 1.5982908294345133)	(4.0, 0.9871000892446656)	(5.0, 0.7775103442680585)	(6.0, 0.7139573248235389)	(7.0, 0.5868512859344999)	(8.0, 0.4759715498823593)	(9.0, 0.4381101765962625)	('>10', 5.990210130621738)	('>50', 4.4189631392487225)	('>100', 19.2741433864294)	('>500', 11.350974930362117)	('>1k', 35.54642074803256)	('>5k', 8.476214944424914)	('>10k+', 0.0)
SRR32802215_2	(1.0, 14.608405224869514)	(2.0, 3.5305730589285234)	(3.0, 1.8842794169348513)	(4.0, 1.2061551775427968)	(5.0, 0.8518808989371771)	(6.0, 0.6003732049652486)	(7.0, 0.5347918976661168)	(8.0, 0.4110663385347648)	(9.0, 0.2738188603726641)	('>10', 5.412824188008762)	('>50', 5.946939989723342)	('>100', 38.5083971117181)	('>500', 17.454769180842145)	('>1k', 8.775725450956)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802216_1	(1.0, 6.3560973786371475)	(2.0, 2.3442214141155238)	(3.0, 1.459397978309277)	(4.0, 0.963320143750434)	(5.0, 0.760937474969162)	(6.0, 0.6439933998686382)	(7.0, 0.6167598481328997)	(8.0, 0.4869999839802637)	(9.0, 0.4709802476651234)	('>10', 6.434594086581334)	('>50', 3.3326391447596775)	('>100', 12.34961472534162)	('>500', 12.444665160811454)	('>1k', 34.59622254617689)	('>5k', 10.097239799432902)	('>10k+', 6.642316667467653)
SRR32802216_2	(1.0, 13.882703490700543)	(2.0, 3.260550331341546)	(3.0, 1.853483491661727)	(4.0, 1.2345876786868089)	(5.0, 0.9478343986457983)	(6.0, 0.8073947102830689)	(7.0, 0.6690909867623579)	(8.0, 0.46564033556007667)	(9.0, 0.4709802476651234)	('>10', 5.845601781394678)	('>50', 4.887087558538786)	('>100', 27.032237049378168)	('>500', 17.838510378119178)	('>1k', 20.804297561262143)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802217_1	(1.0, 7.134758293112695)	(2.0, 2.66605378074006)	(3.0, 1.6387037462652263)	(4.0, 1.0296483566996093)	(5.0, 0.7354631119282923)	(6.0, 0.6619168007354631)	(7.0, 0.5040986746341837)	(8.0, 0.49030874128552826)	(9.0, 0.4757527005286141)	('>10', 6.643683444418907)	('>50', 4.2472994713858885)	('>100', 20.301846318853904)	('>500', 14.450317934574427)	('>1k', 26.55941162951046)	('>5k', 12.460736995326744)	('>10k+', 0.0)
SRR32802217_2	(1.0, 14.857120968359764)	(2.0, 3.586914885466942)	(3.0, 2.0041369800045965)	(4.0, 1.155289971654026)	(5.0, 0.8886845935800198)	(6.0, 0.5975637784417376)	(7.0, 0.4880104190607523)	(8.0, 0.36773155596414614)	(9.0, 0.3171684670190761)	('>10', 6.6459817666436845)	('>50', 8.372021757450394)	('>100', 43.441354477897804)	('>500', 13.702597104113998)	('>1k', 3.5754232743430627)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802218_1	(1.0, 6.2561539044156635)	(2.0, 2.246575661708586)	(3.0, 1.398283606872564)	(4.0, 1.0696869592575113)	(5.0, 0.8447963458188407)	(6.0, 0.716620348522189)	(7.0, 0.5791224605130535)	(8.0, 0.4847383170491555)	(9.0, 0.3880237009071365)	('>10', 5.9730014740239685)	('>50', 3.1618688060405855)	('>100', 13.584325240766958)	('>500', 11.87550614953478)	('>1k', 33.9782916470033)	('>5k', 9.32305594882282)	('>10k+', 8.119949428742885)
SRR32802218_2	(1.0, 13.399052662856345)	(2.0, 3.234696077231865)	(3.0, 1.9733277401989058)	(4.0, 1.2957428090352425)	(5.0, 0.8710141634477012)	(6.0, 0.6886546763847378)	(7.0, 0.6117490780067467)	(8.0, 0.503382098474123)	(9.0, 0.41424151853599706)	('>10', 5.08392614732083)	('>50', 4.024726315114863)	('>100', 26.628563438379388)	('>500', 19.500812752346494)	('>1k', 21.770110522666762)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802219_1	(1.0, 6.716638923213611)	(2.0, 2.6184373117104602)	(3.0, 1.688095505560605)	(4.0, 1.270411862623952)	(5.0, 0.7659235506173344)	(6.0, 0.7046496665679476)	(7.0, 0.44321442795723087)	(8.0, 0.4575116675687544)	(9.0, 0.4135987173333606)	('>10', 6.461331073007832)	('>50', 4.02569418204471)	('>100', 20.84741781640302)	('>500', 11.645101663585953)	('>1k', 41.941973631805226)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802219_2	(1.0, 14.790494378121139)	(2.0, 3.6948152081780212)	(3.0, 2.0925031402865573)	(4.0, 1.4746581427885743)	(5.0, 0.86294053369553)	(6.0, 0.7781783274272117)	(7.0, 0.6219299231012755)	(8.0, 0.46568151877533936)	(9.0, 0.40440763472595254)	('>10', 6.625749328540353)	('>50', 6.969904310617743)	('>100', 33.21963623737503)	('>500', 13.614035804372913)	('>1k', 14.385065511994362)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802220_1	(1.0, 5.9914785508243575)	(2.0, 2.058027011053184)	(3.0, 1.2901262338899622)	(4.0, 0.853909192755886)	(5.0, 0.6704245728248692)	(6.0, 0.579564400455183)	(7.0, 0.41989749561136547)	(8.0, 0.4340116971445206)	(9.0, 0.35726572630798953)	('>10', 6.26979296230626)	('>50', 3.4006404318945673)	('>100', 11.797708206526055)	('>500', 8.981925000661603)	('>1k', 26.526759643969267)	('>5k', 16.59697779659671)	('>10k+', 13.771491077178219)
SRR32802220_2	(1.0, 11.830347297571475)	(2.0, 2.611127283633701)	(3.0, 1.6368063090480853)	(4.0, 1.1750072776351654)	(5.0, 0.9174230996550842)	(6.0, 0.6960065631037129)	(7.0, 0.6174963170755374)	(8.0, 0.5045827048102963)	(9.0, 0.4207796332071877)	('>10', 6.345215726749058)	('>50', 3.2908143012147035)	('>100', 17.345471546651847)	('>500', 12.501212939194255)	('>1k', 35.147449299141684)	('>5k', 4.96025970130821)	('>10k+', 0.0)
SRR32802221_1	(1.0, 6.370986833718792)	(2.0, 2.4766448746198533)	(3.0, 1.4614025822664942)	(4.0, 0.9396682024292972)	(5.0, 0.7511882432210952)	(6.0, 0.557245096789467)	(7.0, 0.5800083768870758)	(8.0, 0.5463187223426147)	(9.0, 0.41793382259210027)	('>10', 6.613188133957351)	('>50', 2.847231074608927)	('>100', 13.764500209422176)	('>500', 12.935006282665306)	('>1k', 34.44903756851747)	('>5k', 15.289639975961977)	('>10k+', 0.0)
SRR32802221_2	(1.0, 13.551435907708557)	(2.0, 2.9992897856609546)	(3.0, 1.860215249576603)	(4.0, 1.2711015606504834)	(5.0, 0.99247901225575)	(6.0, 0.8249412707373482)	(7.0, 0.5035237557591099)	(8.0, 0.6264454682861982)	(9.0, 0.5080764117786317)	('>10', 8.111011964380019)	('>50', 4.640067015096607)	('>100', 19.367909238249595)	('>500', 10.512993280279716)	('>1k', 34.23051007958043)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802222_1	(1.0, 6.938375665999493)	(2.0, 2.453979082682604)	(3.0, 1.441941758520565)	(4.0, 1.0148563696332422)	(5.0, 0.856285061878048)	(6.0, 0.6385137992275816)	(7.0, 0.5426662532066642)	(8.0, 0.42285682068051755)	(9.0, 0.49474248019620554)	('>10', 6.501423617962958)	('>50', 3.4427592817072137)	('>100', 13.83939897950554)	('>500', 7.693879852282018)	('>1k', 37.22549544724156)	('>5k', 8.787669495108956)	('>10k+', 7.705156034166831)
SRR32802222_2	(1.0, 12.839342598596115)	(2.0, 3.0445691088997267)	(3.0, 1.795027203788797)	(4.0, 1.220646689031094)	(5.0, 0.8915231302680913)	(6.0, 0.7526851408113213)	(7.0, 0.636399515124179)	(8.0, 0.5468948214134693)	(9.0, 0.4693710709553745)	('>10', 6.707213937360809)	('>50', 4.113692103853635)	('>100', 19.669185013954273)	('>500', 13.777379979139063)	('>1k', 33.53606968680405)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802223_1	(1.0, 7.349493623405852)	(2.0, 2.6506626656664167)	(3.0, 1.5753938484621155)	(4.0, 1.1346586646661665)	(5.0, 0.8087959489872467)	(6.0, 0.7595648912228057)	(7.0, 0.5579519879969993)	(8.0, 0.5063765941485371)	(9.0, 0.48527756939234806)	('>10', 6.432076769192298)	('>50', 3.8454926231557893)	('>100', 15.891472868217054)	('>500', 15.193642160540136)	('>1k', 27.685046261565393)	('>5k', 15.124093523380846)	('>10k+', 0.0)
SRR32802223_2	(1.0, 12.516410352588148)	(2.0, 3.308639659914979)	(3.0, 1.9715866466616654)	(4.0, 1.2690672668167042)	(5.0, 0.9572705676419105)	(6.0, 0.6845461365341335)	(7.0, 0.5360715178794699)	(8.0, 0.5188797199299825)	(9.0, 0.40791447861965496)	('>10', 6.709489872468118)	('>50', 5.347430607651913)	('>100', 31.40707051762941)	('>500', 12.595336334083521)	('>1k', 21.770286321580397)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802224_1	(1.0, 6.701578370561186)	(2.0, 2.336485555141285)	(3.0, 1.494763244415822)	(4.0, 0.9739122575105357)	(5.0, 0.9575297427380267)	(6.0, 0.7389079076704064)	(7.0, 0.5694336169203131)	(8.0, 0.5739529313403157)	(9.0, 0.39656984035521814)	('>10', 6.0106881786033055)	('>50', 2.483363273791366)	('>100', 12.163169847134188)	('>500', 12.719610435096996)	('>1k', 38.44072354223864)	('>5k', 7.293608559581512)	('>10k+', 6.14570269690088)
SRR32802224_2	(1.0, 11.697115547571434)	(2.0, 2.7025500231614865)	(3.0, 1.5540792461783546)	(4.0, 1.256369408760691)	(5.0, 0.9123365985380019)	(6.0, 0.6406128190353524)	(7.0, 0.5694336169203131)	(8.0, 0.4926052717802709)	(9.0, 0.39148561163271534)	('>10', 6.114067495960863)	('>50', 3.186116666101752)	('>100', 16.663277180851665)	('>500', 12.56595374481691)	('>1k', 30.588414737484328)	('>5k', 10.665582031205865)	('>10k+', 0.0)
SRR32802225_1	(1.0, 5.897769978686389)	(2.0, 2.253368379035842)	(3.0, 1.3963051386137868)	(4.0, 0.9760579609727442)	(5.0, 0.7794907327212888)	(6.0, 0.6552240941715181)	(7.0, 0.49556029191363093)	(8.0, 0.42175343992649444)	(9.0, 0.4134689973565097)	('>10', 6.172662845781336)	('>50', 2.8257480475075125)	('>100', 12.58708078837768)	('>500', 9.581334397758681)	('>1k', 39.28859232258113)	('>5k', 0.0)	('>10k+', 16.255582584595455)
SRR32802225_2	(1.0, 12.328756806422703)	(2.0, 2.726334736667696)	(3.0, 1.8368868571084285)	(4.0, 1.2712853689212904)	(5.0, 1.046852288388977)	(6.0, 0.8314567815693747)	(7.0, 0.5535513899035239)	(8.0, 0.5000790787699863)	(9.0, 0.3999126367874438)	('>10', 6.286385648332944)	('>50', 3.402646502835539)	('>100', 17.04637028445763)	('>500', 15.756256636968194)	('>1k', 32.21744402352782)	('>5k', 3.7957809593384497)	('>10k+', 0.0)
SRR32802226_1	(1.0, 7.047799859141992)	(2.0, 2.4693021404293107)	(3.0, 1.4845209296628594)	(4.0, 0.9700829837400863)	(5.0, 0.747159873840218)	(6.0, 0.7018403405089261)	(7.0, 0.6001776035765686)	(8.0, 0.44584621979973665)	(9.0, 0.4685059864653826)	('>10', 6.36923171142481)	('>50', 3.947086382705086)	('>100', 13.98781272009064)	('>500', 10.149738187831094)	('>1k', 28.870380010411246)	('>5k', 21.74051505037205)	('>10k+', 0.0)
SRR32802226_2	(1.0, 12.59086872645987)	(2.0, 3.0413081422053465)	(3.0, 1.79869553235141)	(4.0, 1.0215267783323636)	(5.0, 0.9523226260832287)	(6.0, 0.8304498269896194)	(7.0, 0.5958906206938788)	(8.0, 0.5291361729491381)	(9.0, 0.3913402945769666)	('>10', 5.6955629727164165)	('>50', 4.085494687203356)	('>100', 21.9291422972104)	('>500', 14.6755672596993)	('>1k', 31.862694062528707)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802227_1	(1.0, 6.867416562895573)	(2.0, 2.603711060111764)	(3.0, 1.571488849324373)	(4.0, 0.9468040218588233)	(5.0, 0.6946659942985931)	(6.0, 0.6298305014973912)	(7.0, 0.4898681678313042)	(8.0, 0.4775185501548848)	(9.0, 0.41679959657915594)	('>10', 6.419742922125369)	('>50', 5.05613930368739)	('>100', 16.29737879364818)	('>500', 8.973026376725088)	('>1k', 31.642807891405695)	('>5k', 16.912801407856414)	('>10k+', 0.0)
SRR32802227_2	(1.0, 13.4703454805545)	(2.0, 3.175910012452531)	(3.0, 1.935802570778746)	(4.0, 1.2349617676419435)	(5.0, 0.7821424528398975)	(6.0, 0.7533266782615855)	(7.0, 0.6771707025903323)	(8.0, 0.46105239325299224)	(9.0, 0.4260618098364705)	('>10', 8.256748551492759)	('>50', 4.994391215305293)	('>100', 22.799452500283014)	('>500', 14.380100649384062)	('>1k', 26.652533215325874)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802228_1	(1.0, 7.169282912585826)	(2.0, 2.927861626713555)	(3.0, 1.9190223488133409)	(4.0, 1.3175377320210997)	(5.0, 0.9507594141094289)	(6.0, 0.9213216749277979)	(7.0, 0.6850241469022746)	(8.0, 0.5282880761244023)	(9.0, 0.5370398364216439)	('>10', 8.782789265568187)	('>50', 5.8040083062161365)	('>100', 23.153975288211377)	('>500', 12.745745451073681)	('>1k', 32.55734392031124)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802228_2	(1.0, 10.98425478761069)	(2.0, 2.9819634176419574)	(3.0, 1.3963035746962742)	(4.0, 0.8433514468251)	(5.0, 0.6444478037059727)	(6.0, 0.420084494267597)	(7.0, 0.41212834854283187)	(8.0, 0.34370549530985206)	(9.0, 0.3365449641575635)	('>10', 6.3243402366157735)	('>50', 5.165925419089977)	('>100', 41.5310806832738)	('>500', 19.2514858102141)	('>1k', 9.364383518048516)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802229_1	(1.0, 5.677361132001249)	(2.0, 2.6923210422186483)	(3.0, 1.5428492091957746)	(4.0, 1.0875727458897848)	(5.0, 0.9834434404322523)	(6.0, 0.7740278372343257)	(7.0, 0.6560146243824554)	(8.0, 0.5183325427219401)	(9.0, 0.5310594578334162)	('>10', 8.793141349747197)	('>50', 3.760803415441219)	('>100', 15.407087734724808)	('>500', 15.955502076801148)	('>1k', 38.58106466429869)	('>5k', 3.0394187270770905)	('>10k+', 0.0)
SRR32802229_2	(1.0, 11.220511159190568)	(2.0, 2.813805231919103)	(3.0, 1.612268746167463)	(4.0, 0.9441057028149622)	(5.0, 0.6681630433525009)	(6.0, 0.5484143420763383)	(7.0, 0.5142830697319248)	(8.0, 0.3378417465955502)	(9.0, 0.31238791637259783)	('>10', 5.71669886961854)	('>50', 4.033275098055096)	('>100', 31.27234441346276)	('>500', 14.036630375675394)	('>1k', 25.969270284967198)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802230_1	(1.0, 6.116922778024006)	(2.0, 2.377555295160497)	(3.0, 1.4316331424893902)	(4.0, 0.9568506499420183)	(5.0, 0.7832089710819821)	(6.0, 0.6921381604910538)	(7.0, 0.624745760653767)	(8.0, 0.4419970007346378)	(9.0, 0.5027108744619233)	('>10', 8.407657233754486)	('>50', 4.606968738426418)	('>100', 17.67684433569915)	('>500', 8.771333337380925)	('>1k', 29.51240688009617)	('>5k', 9.543006672454721)	('>10k+', 7.554020169148852)
SRR32802230_2	(1.0, 11.127031637999599)	(2.0, 2.3811981275841343)	(3.0, 1.3642407426521035)	(4.0, 0.9762790895347496)	(5.0, 0.7194594036683323)	(6.0, 0.5937816850528514)	(7.0, 0.5269964239528375)	(8.0, 0.49056809971646625)	(9.0, 0.44260413947191074)	('>10', 7.126594498108762)	('>50', 6.252314716435853)	('>100', 18.879586174236675)	('>500', 7.607448378028864)	('>1k', 34.950548549849124)	('>5k', 6.561348333707735)	('>10k+', 0.0)
SRR32802231_1	(1.0, 6.13594449396971)	(2.0, 2.2526920519024776)	(3.0, 1.4164225778607915)	(4.0, 1.0376722182130342)	(5.0, 0.782970855560744)	(6.0, 0.6537334974742115)	(7.0, 0.6009065481833661)	(8.0, 0.5433629069915524)	(9.0, 0.4584624527741224)	('>10', 7.82357685613618)	('>50', 3.5827991679755486)	('>100', 12.394522977364595)	('>500', 11.552593473041748)	('>1k', 37.303372906378385)	('>5k', 13.460967016173536)	('>10k+', 0.0)
SRR32802231_2	(1.0, 10.932820157254508)	(2.0, 2.4489064349827605)	(3.0, 1.429157645993406)	(4.0, 1.0338988646922593)	(5.0, 0.8466461962238164)	(6.0, 0.6254333460684014)	(7.0, 0.4490290689721857)	(8.0, 0.4603491295345097)	(9.0, 0.32686674873710575)	('>10', 5.027993566432247)	('>50', 2.9762325895110204)	('>100', 20.244984977336294)	('>500', 12.019074302047517)	('>1k', 38.614141585657485)	('>5k', 2.564465386556485)	('>10k+', 0.0)
SRR32802232_1	(1.0, 5.379482564314612)	(2.0, 2.022069256277414)	(3.0, 1.366964220562839)	(4.0, 0.8496906898872215)	(5.0, 0.5634876235416211)	(6.0, 0.5934862452265707)	(7.0, 0.550515246596778)	(8.0, 0.447547004597086)	(9.0, 0.445114683919928)	('>10', 7.631000737803939)	('>50', 5.004905180032269)	('>100', 8.556904142242114)	('>500', 7.059405378671791)	('>1k', 37.980687373823365)	('>5k', 21.54873965250245)	('>10k+', 0.0)
SRR32802232_2	(1.0, 10.788963750314174)	(2.0, 2.5669090879608234)	(3.0, 1.6710043052075987)	(4.0, 1.0994089460754506)	(5.0, 0.8432045014147997)	(6.0, 0.5983508865808869)	(7.0, 0.510787342203196)	(8.0, 0.40214368529013533)	(9.0, 0.30647240532191766)	('>10', 5.26110962469292)	('>50', 4.139809792523046)	('>100', 4.351421691435799)	('>500', 15.725763951386018)	('>1k', 51.73465002959323)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802233_1	(1.0, 5.593377855583652)	(2.0, 2.243402710237956)	(3.0, 1.2821759709524736)	(4.0, 0.892606280663079)	(5.0, 0.7105189219563854)	(6.0, 0.6451403747649614)	(7.0, 0.605156800449545)	(8.0, 0.4711577946357172)	(9.0, 0.4765609803540167)	('>10', 7.744386090038686)	('>50', 3.4547969482807064)	('>100', 13.833776394562234)	('>500', 8.489485400592189)	('>1k', 31.200155611748688)	('>5k', 15.352611899976226)	('>10k+', 7.004689965203484)
SRR32802233_2	(1.0, 10.439495126326483)	(2.0, 2.1202100758607276)	(3.0, 1.2886597938144329)	(4.0, 0.9725734292939117)	(5.0, 0.7861635220125787)	(6.0, 0.6775594890747585)	(7.0, 0.5748989604270678)	(8.0, 0.5014156346581945)	(9.0, 0.39389223886403424)	('>10', 7.239188225377682)	('>50', 4.3711772461043035)	('>100', 13.707341848754027)	('>500', 9.194601136830276)	('>1k', 35.505954310661565)	('>5k', 12.22686896193996)	('>10k+', 0.0)
SRR32802234_1	(1.0, 7.466469757105429)	(2.0, 2.930923084569343)	(3.0, 1.8254368339214586)	(4.0, 1.1644171169316189)	(5.0, 1.0898660210305091)	(6.0, 0.9159134639279196)	(7.0, 0.6858700822902097)	(8.0, 0.6475295186839246)	(9.0, 0.543157984422371)	('>10', 8.619526707042594)	('>50', 3.9029273730323832)	('>100', 22.11611510689207)	('>500', 15.93831429322011)	('>1k', 32.153532656930054)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802234_2	(1.0, 11.338156670903063)	(2.0, 2.9380231889408774)	(3.0, 1.546402732120162)	(4.0, 0.8946131508133168)	(5.0, 0.543157984422371)	(6.0, 0.451566638029579)	(7.0, 0.3777255525656227)	(8.0, 0.21584317289464156)	(9.0, 0.23004338163771007)	('>10', 5.361288810945521)	('>50', 8.321322323438155)	('>100', 34.26652371789865)	('>500', 23.271302088140697)	('>1k', 10.244030587249632)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802235_1	(1.0, 4.896951407702068)	(2.0, 1.7694866431192346)	(3.0, 0.979904667192483)	(4.0, 0.6584136346490175)	(5.0, 0.42865471005795414)	(6.0, 0.36006995644868145)	(7.0, 0.2820547992181338)	(8.0, 0.28805596515894516)	(9.0, 0.19289461952607936)	('>10', 5.064126744624669)	('>50', 4.468296697644114)	('>100', 23.00332636055005)	('>500', 18.065224100682418)	('>1k', 39.54253969342615)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802235_2	(1.0, 13.16055690819931)	(2.0, 2.3833201879222248)	(3.0, 1.0982133671684784)	(4.0, 0.6584136346490175)	(5.0, 0.47580672816432906)	(6.0, 0.38578923905215873)	(7.0, 0.34806762456705875)	(8.0, 0.36349919412914505)	(9.0, 0.24690511299338158)	('>10', 5.9711601111073005)	('>50', 6.806179486300196)	('>100', 36.29247968176674)	('>500', 21.19354617468537)	('>1k', 10.616062549295293)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802236_1	(1.0, 6.8969661590234015)	(2.0, 2.6280697537329236)	(3.0, 1.6225125766186497)	(4.0, 1.1927041303962136)	(5.0, 0.8413028175059665)	(6.0, 0.6902116992599969)	(7.0, 0.5688809527897487)	(8.0, 0.49448002335044555)	(9.0, 0.4687258554676098)	('>10', 6.047650933731664)	('>50', 2.8798882841428726)	('>100', 17.894568159836087)	('>500', 14.776024586645606)	('>1k', 40.00766901888066)	('>5k', 2.990345048618146)	('>10k+', 0.0)
SRR32802236_2	(1.0, 15.11082876912247)	(2.0, 3.3995501605343135)	(3.0, 2.019126762014319)	(4.0, 1.2888530238254667)	(5.0, 0.8928111532716378)	(6.0, 0.6352694744432807)	(7.0, 0.5728871566826342)	(8.0, 0.3571244613086551)	(9.0, 0.329653348900297)	('>10', 5.8702333327610186)	('>50', 6.705813001848577)	('>100', 27.7687161261153)	('>500', 23.855227237607952)	('>1k', 11.19390599156408)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802237_1	(1.0, 5.601794002142093)	(2.0, 2.5504284184219923)	(3.0, 1.4944439485897894)	(4.0, 1.1201356658336308)	(5.0, 0.9120626561942162)	(6.0, 0.7664673330953231)	(7.0, 0.6208720099964298)	(8.0, 0.6069260978222063)	(9.0, 0.49201178150660474)	('>10', 8.168957515173153)	('>50', 4.27693234559086)	('>100', 15.393497857907889)	('>500', 12.977508032845412)	('>1k', 38.1303552302749)	('>5k', 6.887607104605498)	('>10k+', 0.0)
SRR32802237_2	(1.0, 9.542908782577651)	(2.0, 2.7545965726526243)	(3.0, 1.5496697607997145)	(4.0, 0.914851838629061)	(5.0, 0.7084523384505534)	(6.0, 0.4819707247411638)	(7.0, 0.43343895037486607)	(8.0, 0.2409853623705819)	(9.0, 0.26106747590146373)	('>10', 4.197719564441272)	('>50', 3.3509237772224205)	('>100', 28.61868529096751)	('>500', 27.00988486254909)	('>1k', 19.934844698322028)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802238_1	(1.0, 6.0193576544889735)	(2.0, 2.921619470616929)	(3.0, 1.6466842956535135)	(4.0, 1.226155939513748)	(5.0, 0.8805935662755769)	(6.0, 0.7825216297399298)	(7.0, 0.6325896639367411)	(8.0, 0.6038355883032528)	(9.0, 0.5961336037585685)	('>10', 8.750481374034043)	('>50', 5.067392364765988)	('>100', 20.734255859926574)	('>500', 14.410926548740727)	('>1k', 32.33241765294858)	('>5k', 3.39503478729686)	('>10k+', 0.0)
SRR32802238_2	(1.0, 10.492670278041642)	(2.0, 2.9257271957074273)	(3.0, 1.4911042078508896)	(4.0, 0.9529922209956099)	(5.0, 0.6443993735719237)	(6.0, 0.3820184334163436)	(7.0, 0.36302020487278885)	(8.0, 0.36147980796385204)	(9.0, 0.3373469230571744)	('>10', 5.889450848501964)	('>50', 5.552103925444789)	('>100', 38.73790146594439)	('>500', 22.743960360452878)	('>1k', 9.125824754178327)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802239_1	(1.0, 5.798035025976202)	(2.0, 2.4352689793866267)	(3.0, 1.51929361488185)	(4.0, 1.0390480978716274)	(5.0, 0.8091377576671696)	(6.0, 0.7604323780794369)	(7.0, 0.5132394838277191)	(8.0, 0.47762694821518353)	(9.0, 0.5231900452488687)	('>10', 8.125942684766214)	('>50', 3.9362326127032006)	('>100', 14.35970755823697)	('>500', 9.449367353779119)	('>1k', 32.676596279537456)	('>5k', 17.576881179822358)	('>10k+', 0.0)
SRR32802239_2	(1.0, 10.284690799396682)	(2.0, 2.624853360147478)	(3.0, 1.4784439416792357)	(4.0, 0.9678230266465561)	(5.0, 0.7148692810457516)	(6.0, 0.5404725992961287)	(7.0, 0.4802455170102229)	(8.0, 0.3854533266297972)	(9.0, 0.26395173453996984)	('>10', 4.744322942852355)	('>50', 3.8142073068543656)	('>100', 20.881514999162057)	('>500', 21.222452656276186)	('>1k', 31.596698508463216)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802240_1	(1.0, 5.730729024634124)	(2.0, 2.4293246068539225)	(3.0, 1.4010089991818926)	(4.0, 1.152167984728661)	(5.0, 0.8181074447777474)	(6.0, 0.6885737660212707)	(7.0, 0.6084674120534497)	(8.0, 0.5726752113444232)	(9.0, 0.460185437687483)	('>10', 8.254931369875466)	('>50', 4.376874829560949)	('>100', 13.618080174529586)	('>500', 10.085446777565677)	('>1k', 34.13894191437142)	('>5k', 15.664485046813926)	('>10k+', 0.0)
SRR32802240_2	(1.0, 9.616739387328424)	(2.0, 2.5531769839105536)	(3.0, 1.5220207253886011)	(4.0, 0.9953640578129261)	(5.0, 0.7215253158803745)	(6.0, 0.6613035178620126)	(7.0, 0.44143714207799295)	(8.0, 0.4090537223888737)	(9.0, 0.327242977911099)	('>10', 5.531883465139533)	('>50', 4.021793473320607)	('>100', 20.924802290700846)	('>500', 15.148054722297974)	('>1k', 37.12560221798019)	('>5k', 0.0)	('>10k+', 0.0)
