Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802193_1	(1.0, 6.652576102769619)	(2.0, 2.5802201421865996)	(3.0, 1.5580137794735252)	(4.0, 1.0716148335209026)	(5.0, 0.8646482391369987)	(6.0, 0.6884246932557437)	(7.0, 0.6071752079273147)	(8.0, 0.4172270868216628)	(9.0, 0.3903269193818451)	('>10', 5.988306661908814)	('>50', 3.039169937690428)	('>100', 18.245450303313113)	('>500', 14.380609920122971)	('>1k', 36.739040926683316)	('>5k', 6.7771952458071425)	('>10k+', 0.0)
SRR32802193_2	(1.0, 19.132606845818124)	(2.0, 3.8626444511542366)	(3.0, 2.297493892564025)	(4.0, 1.567895473635091)	(5.0, 0.98816941615657)	(6.0, 0.7510087562789931)	(7.0, 0.5687463972990036)	(8.0, 0.5138480964014164)	(9.0, 0.395267766462628)	('>10', 5.983365814828031)	('>50', 5.4288929757624)	('>100', 32.8236941066674)	('>500', 16.96357497735445)	('>1k', 8.722791029617634)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802194_1	(1.0, 6.907371483996121)	(2.0, 2.4859359844810864)	(3.0, 1.4432589718719688)	(4.0, 1.088263821532493)	(5.0, 0.8414161008729388)	(6.0, 0.6983511154219204)	(7.0, 0.577109602327837)	(8.0, 0.4849660523763337)	(9.0, 0.3491755577109602)	('>10', 6.584384093113482)	('>50', 3.4961202715809896)	('>100', 17.488845780795344)	('>500', 12.492725509214354)	('>1k', 32.6537342386033)	('>5k', 7.451503394762367)	('>10k+', 4.956838021338506)
SRR32802194_2	(1.0, 13.728419010669255)	(2.0, 3.3685741998060132)	(3.0, 1.9306498545101844)	(4.0, 1.2065955383123181)	(5.0, 0.921435499515034)	(6.0, 0.6343355965082443)	(7.0, 0.5805043646944714)	(8.0, 0.4966052376333656)	(9.0, 0.3273520853540252)	('>10', 5.653734238603298)	('>50', 5.2657613967022305)	('>100', 32.54801163918526)	('>500', 20.88748787584869)	('>1k', 12.450533462657614)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802195_1	(1.0, 5.255306073372106)	(2.0, 1.9211414626325962)	(3.0, 1.1863516125297255)	(4.0, 0.8283085582977814)	(5.0, 0.645724413726765)	(6.0, 0.5931758062648628)	(7.0, 0.5299393464378278)	(8.0, 0.46314026915574874)	(9.0, 0.41682624224017384)	('>10', 5.992322559384379)	('>50', 2.341975649509695)	('>100', 9.786064821824594)	('>500', 6.772981109220945)	('>1k', 34.63443091639428)	('>5k', 20.55942000587832)	('>10k+', 8.072891153130204)
SRR32802195_2	(1.0, 11.562029623164138)	(2.0, 2.2613714295893192)	(3.0, 1.5256909251226878)	(4.0, 1.1168805721563633)	(5.0, 0.8639347328482236)	(6.0, 0.7027262930074726)	(7.0, 0.5829332810816107)	(8.0, 0.5557683229868985)	(9.0, 0.5130169135263678)	('>10', 4.943577046055737)	('>50', 1.8752727628989017)	('>100', 15.52232425162767)	('>500', 6.502667509819464)	('>1k', 45.97379694861815)	('>5k', 5.498009387496994)	('>10k+', 0.0)
SRR32802196_1	(1.0, 7.304234008650125)	(2.0, 2.620077395857045)	(3.0, 1.5758024129296606)	(4.0, 1.0926473935806966)	(5.0, 0.890621443205099)	(6.0, 0.7307079444570908)	(7.0, 0.6134759845208286)	(8.0, 0.4689278397450489)	(9.0, 0.4302299112223993)	('>10', 6.249146369223765)	('>50', 3.1447757796494424)	('>100', 17.542112451627588)	('>500', 13.995561119963579)	('>1k', 36.632142044161164)	('>5k', 6.709537901206465)	('>10k+', 0.0)
SRR32802196_2	(1.0, 13.762235374459367)	(2.0, 3.0651035738675168)	(3.0, 1.8865240154791714)	(4.0, 1.1176872296835874)	(5.0, 0.8963123150466651)	(6.0, 0.7068062827225131)	(7.0, 0.4979512861370362)	(8.0, 0.5190075119508308)	(9.0, 0.40462098793535173)	('>10', 4.737650808103801)	('>50', 4.82699749601639)	('>100', 30.698269974960162)	('>500', 23.2529023446392)	('>1k', 13.627930798998406)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802197_1	(1.0, 5.268757828388261)	(2.0, 2.0202292286764805)	(3.0, 1.2687039556088298)	(4.0, 0.8404153591294159)	(5.0, 0.6296381096041698)	(6.0, 0.5899069347735323)	(7.0, 0.5185255020269632)	(8.0, 0.43098223545098246)	(9.0, 0.42424813802206085)	('>10', 5.800751525273068)	('>50', 2.5293269943029535)	('>100', 7.971151126614499)	('>500', 9.520666945009362)	('>1k', 33.39304233053644)	('>5k', 16.283720992875324)	('>10k+', 12.509932793707659)
SRR32802197_2	(1.0, 11.91194494201942)	(2.0, 2.5576102035044244)	(3.0, 1.492949399991919)	(4.0, 1.034357365082358)	(5.0, 0.7744212043259843)	(6.0, 0.6868779377500034)	(7.0, 0.5326671066276987)	(8.0, 0.5441150722568654)	(9.0, 0.44243020108014924)	('>10', 4.892995191854435)	('>50', 2.286226077118884)	('>100', 14.447332624008405)	('>500', 13.405567751754234)	('>1k', 36.3769209012916)	('>5k', 8.61358402133362)	('>10k+', 0.0)
